"index"	"accession"	"genome"	"assay_target_class"	"assay_target"	"biosample_type_class"	"biosample_type"	"treatment"	"mutation"	"strain"	"test_auc_roc"	"test_auc_prc"
3550	"SRX467364"	"mm9"	"TFs and others"	"Rxra"	"Bone"	"IDG-SW3"	"None"	"None"	"C57BL/6-Tg(Dmp1-Topaz)1Ikal/J x STOCK Tg(H2-K1-tsA58)6Kio/LicrmJ"	0.9652	0.1799
3551	"SRX467365"	"mm9"	"TFs and others"	"Rxra"	"Bone"	"IDG-SW3"	"None"	"None"	"C57BL/6-Tg(Dmp1-Topaz)1Ikal/J x STOCK Tg(H2-K1-tsA58)6Kio/LicrmJ"	0.9687	0.1026
3552	"SRX467366"	"mm9"	"TFs and others"	"Rxra"	"Bone"	"IDG-SW3"	"None"	"None"	"C57BL/6-Tg(Dmp1-Topaz)1Ikal/J x STOCK Tg(H2-K1-tsA58)6Kio/LicrmJ"	0.9662	0.2022
3553	"SRX467367"	"mm9"	"TFs and others"	"Rxra"	"Bone"	"IDG-SW3"	"None"	"None"	"C57BL/6-Tg(Dmp1-Topaz)1Ikal/J x STOCK Tg(H2-K1-tsA58)6Kio/LicrmJ"	0.9623	0.2015
3554	"SRX467368"	"mm9"	"Histone"	"H3K4me1"	"Bone"	"IDG-SW3"	"None"	"None"	"C57BL/6-Tg(Dmp1-Topaz)1Ikal/J x STOCK Tg(H2-K1-tsA58)6Kio/LicrmJ"	0.9072	0.3023
3555	"SRX467371"	"mm9"	"Histone"	"H3K27ac"	"Bone"	"IDG-SW3"	"None"	"None"	"C57BL/6-Tg(Dmp1-Topaz)1Ikal/J x STOCK Tg(H2-K1-tsA58)6Kio/LicrmJ"	0.9418	0.485
3556	"SRX467372"	"mm9"	"Histone"	"H4K5ac"	"Bone"	"IDG-SW3"	"None"	"None"	"C57BL/6-Tg(Dmp1-Topaz)1Ikal/J x STOCK Tg(H2-K1-tsA58)6Kio/LicrmJ"	0.941	0.3712
3557	"SRX467373"	"mm9"	"Histone"	"H3K9ac"	"Bone"	"IDG-SW3"	"None"	"None"	"C57BL/6-Tg(Dmp1-Topaz)1Ikal/J x STOCK Tg(H2-K1-tsA58)6Kio/LicrmJ"	0.9769	0.6069
3558	"SRX467374"	"mm9"	"Histone"	"H4K20me1"	"Bone"	"IDG-SW3"	"None"	"None"	"C57BL/6-Tg(Dmp1-Topaz)1Ikal/J x STOCK Tg(H2-K1-tsA58)6Kio/LicrmJ"	0.9782	0.2411
3559	"SRX467377"	"mm9"	"Histone"	"H3K4me1"	"Bone"	"IDG-SW3"	"None"	"None"	"C57BL/6-Tg(Dmp1-Topaz)1Ikal/J x STOCK Tg(H2-K1-tsA58)6Kio/LicrmJ"	0.9141	0.3198
3560	"SRX467378"	"mm9"	"Histone"	"H3K4me2"	"Bone"	"IDG-SW3"	"None"	"None"	"C57BL/6-Tg(Dmp1-Topaz)1Ikal/J x STOCK Tg(H2-K1-tsA58)6Kio/LicrmJ"	0.9689	0.59
3561	"SRX467379"	"mm9"	"Histone"	"H3K4me3"	"Bone"	"IDG-SW3"	"None"	"None"	"C57BL/6-Tg(Dmp1-Topaz)1Ikal/J x STOCK Tg(H2-K1-tsA58)6Kio/LicrmJ"	0.9989	0.6638
3562	"SRX467380"	"mm9"	"Histone"	"H3K27ac"	"Bone"	"IDG-SW3"	"None"	"None"	"C57BL/6-Tg(Dmp1-Topaz)1Ikal/J x STOCK Tg(H2-K1-tsA58)6Kio/LicrmJ"	0.9402	0.4576
3563	"SRX467381"	"mm9"	"Histone"	"H4K5ac"	"Bone"	"IDG-SW3"	"None"	"None"	"C57BL/6-Tg(Dmp1-Topaz)1Ikal/J x STOCK Tg(H2-K1-tsA58)6Kio/LicrmJ"	0.9452	0.4027
3564	"SRX467382"	"mm9"	"Histone"	"H3K9ac"	"Bone"	"IDG-SW3"	"None"	"None"	"C57BL/6-Tg(Dmp1-Topaz)1Ikal/J x STOCK Tg(H2-K1-tsA58)6Kio/LicrmJ"	0.9837	0.6297
3565	"SRX467383"	"mm9"	"Histone"	"H4K20me1"	"Bone"	"IDG-SW3"	"None"	"None"	"C57BL/6-Tg(Dmp1-Topaz)1Ikal/J x STOCK Tg(H2-K1-tsA58)6Kio/LicrmJ"	0.9632	0.3328
3566	"SRX467384"	"mm9"	"Histone"	"H3K36me3"	"Bone"	"IDG-SW3"	"None"	"None"	"C57BL/6-Tg(Dmp1-Topaz)1Ikal/J x STOCK Tg(H2-K1-tsA58)6Kio/LicrmJ"	0.8904	0.0756
3567	"SRX4674465"	"mm9"	"TFs and others"	"Ctcf"	"Pluripotent stem cell"	"Embryoid bodies"	"None"	"None"	"(C57BL/6 x 129/Sv)F1"	0.9953	0.7087
3568	"SRX4674466"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryoid bodies"	"None"	"None"	"(C57BL/6 x 129/Sv)F1"	0.9933	0.6491
3569	"SRX467473"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"7298/2"	"None"	"None"	"(C57BL/6 x C3H)F1"	0.9845	0.6738
3570	"SRX468969"	"mm9"	"TFs and others"	"Klf4"	"Pluripotent stem cell"	"Embryonic stem cells (CGR8 cell line)"	"None"	"None"	"129P2/Ola"	0.9903	0.2654
3571	"SRX468970"	"mm9"	"TFs and others"	"Klf5"	"Pluripotent stem cell"	"Embryonic stem cells (CGR8 cell line)"	"None"	"None"	"129P2/Ola"	0.9911	0.281
3572	"SRX469919"	"mm9"	"Histone"	"H3ac"	"Cardiovascular"	"Heart ventricles"	"Dimethyl sulfoxide"	"None"	"C57BL/6"	0.9972	0.7327
3573	"SRX469920"	"mm9"	"Histone"	"H3ac"	"Cardiovascular"	"Heart ventricles"	"Trichostatin A"	"None"	"C57BL/6"	0.997	0.7170000000000001
3574	"SRX470210"	"mm9"	"TFs and others"	"T"	"Pluripotent stem cell"	"mESC derived mesodermal cells (ES-D3 cell line)"	"None"	"None"	"129S2/SvPas"	0.894	0.0041
3575	"SRX4705095"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Leukemia"	"None"	"None"	"C57BL/6"	0.9956	0.8057
3576	"SRX4705096"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Leukemia"	"None"	"None"	"C57BL/6"	0.9854	0.5851
3577	"SRX4705097"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Leukemia"	"None"	"None"	"C57BL/6"	0.9871	0.5967
3578	"SRX4705100"	"mm9"	"TFs and others"	"Cebpa"	"Blood"	"Leukemia"	"None"	"None"	"C57BL/6"	0.9744	0.4037
3579	"SRX4705102"	"mm9"	"TFs and others"	"Cebpa"	"Blood"	"Leukemia"	"None"	"None"	"C57BL/6"	0.9777	0.413
3580	"SRX4705104"	"mm9"	"TFs and others"	"Fli1"	"Blood"	"Leukemia"	"None"	"None"	"C57BL/6"	0.9894	0.5273
3581	"SRX4705106"	"mm9"	"TFs and others"	"Fli1"	"Blood"	"Leukemia"	"None"	"None"	"C57BL/6"	0.9901	0.5529999999999999
3582	"SRX4705107"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Blood"	"Leukemia"	"None"	"None"	"C57BL/6"	0.9792	0.5647
3583	"SRX4705109"	"mm9"	"TFs and others"	"Runx2"	"Blood"	"Leukemia"	"None"	"None"	"C57BL/6"	0.9833	0.5228
3584	"SRX4705110"	"mm9"	"TFs and others"	"Runx2"	"Blood"	"Leukemia"	"None"	"None"	"C57BL/6"	0.983	0.5249
3585	"SRX471330"	"mm9"	"TFs and others"	"Ctcf"	"Bone"	"MC3T3-E1"	"None"	"None"	"C57BL/6"	0.9949	0.6956
3586	"SRX471331"	"mm9"	"TFs and others"	"Ctcf"	"Bone"	"MC3T3-E1"	"None"	"None"	"C57BL/6"	0.9937	0.6812
3587	"SRX471332"	"mm9"	"TFs and others"	"Ctcf"	"Bone"	"MC3T3-E1"	"None"	"None"	"C57BL/6"	0.9931	0.6851
3588	"SRX4720485"	"mm9"	"Histone"	"H4K16ac"	"Blood"	"Hematopoietic stem cells"	"None"	"None"	"C57BL/6"	0.9641	0.2842
3589	"SRX4720488"	"mm9"	"Histone"	"H4K16ac"	"Blood"	"Hematopoietic stem cells"	"None"	"None"	"C57BL/6"	0.9018	0.1311
3590	"SRX472460"	"mm9"	"Histone"	"H3K27ac"	"Embryo"	"Embryonic face"	"None"	"None"	"CD-1"	0.9686	0.4717
3591	"SRX474256"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9942	0.8131
3592	"SRX474257"	"mm9"	"Histone"	"H3K27me3"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9808	0.3107
3593	"SRX474258"	"mm9"	"Histone"	"H3K4me3"	"Embryo"	"Pre-somitic mesoderm"	"None"	"None"	"(C57BL/6J x CBA/J)F1/J"	0.9978	0.8924
3594	"SRX474259"	"mm9"	"Histone"	"H3K27me3"	"Embryo"	"Pre-somitic mesoderm"	"None"	"None"	"(C57BL/6J x CBA/J)F1/J"	0.9893	0.3886
3595	"SRX475270"	"mm9"	"TFs and others"	"Tgif1"	"Blood"	"Leukemia"	"Tamoxifen"	"None"	"C57BL/6"	0.982	0.0865
3596	"SRX475271"	"mm9"	"TFs and others"	"Tgif1"	"Blood"	"Leukemia"	"Tamoxifen"	"None"	"C57BL/6"	0.9781	0.2324
3597	"SRX475273"	"mm9"	"TFs and others"	"Meis1"	"Blood"	"Leukemia"	"None"	"None"	"C57BL/6"	0.9678	0.2823
3598	"SRX475275"	"mm9"	"TFs and others"	"Meis1"	"Blood"	"Leukemia"	"Tamoxifen"	"None"	"C57BL/6"	0.9666	0.2794
3599	"SRX475801"	"mm9"	"TFs and others"	"Atf3"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9755	0.0386
3600	"SRX475803"	"mm9"	"TFs and others"	"Atf3"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9747	0.0462
3601	"SRX475943"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129S4/SvJae"	0.9976	0.8606
3602	"SRX476211"	"mm9"	"TFs and others"	"Zfp57"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9933	0.4314
3603	"SRX478586"	"mm9"	"Histone"	"H3K4me2"	"Gonad"	"Sperm"	"None"	"None"	"C57BL/6"	0.8937	0.3369
3604	"SRX478587"	"mm9"	"Histone"	"H3K4me2"	"Gonad"	"Sperm"	"None"	"Tg(HBS1L-KDM1A)"	"C57BL/6"	0.8967	0.4215
3605	"SRX478588"	"mm9"	"Histone"	"H3K4me2"	"Gonad"	"Sperm"	"None"	"None"	"C57BL/6"	0.8854	0.4305
3606	"SRX481623"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Pro-B cells"	"None"	"Dp(16Cbr1-Fam3b)1Rhr"	"B6.129P2-Slc22a6<tm1Dgen>/J"	0.9817	0.5663
3607	"SRX481624"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Pro-B cells"	"None"	"None"	"(FVB x C57BL/6)F1"	0.9807	0.5892
3608	"SRX481625"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Pro-B cells"	"None"	"Dp(16Cbr1-Fam3b)1Rhr"	"B6.129P2-Slc22a6<tm1Dgen>/J"	0.9912	0.813
3609	"SRX481626"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Pro-B cells"	"None"	"None"	"(FVB x C57BL/6)F1"	0.9899	0.8216
3610	"SRX484313"	"mm9"	"Histone"	"H3K9ac"	"Embryonic fibroblast"	"3T3-Swiss albino"	"None"	"None"	"Swiss albino"	0.9898	0.3824
3611	"SRX484317"	"mm9"	"Histone"	"H3K4me3"	"Embryonic fibroblast"	"3T3-Swiss albino"	"None"	"None"	"Swiss albino"	0.9843	0.2973
3612	"SRX484318"	"mm9"	"Histone"	"H3K4me3"	"Embryonic fibroblast"	"3T3-Swiss albino"	"None"	"None"	"Swiss albino"	0.9826	0.581
3613	"SRX484322"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Embryonic fibroblast"	"3T3-Swiss albino"	"None"	"None"	"Swiss albino"	0.9795	0.2573
3614	"SRX485445"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Natural killer T cells"	"None"	"None"	"C57BL/6J"	0.9967	0.8203
3615	"SRX485446"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Natural killer T cells"	"None"	"None"	"C57BL/6J"	0.9965	0.8343
3616	"SRX485447"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Natural killer T cells"	"None"	"None"	"C57BL/6J"	0.9968	0.8298
3617	"SRX4887837"	"mm9"	"TFs and others"	"Hdac3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9679	0.1982
3618	"SRX4887838"	"mm9"	"TFs and others"	"Hdac3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9712	0.2421
3619	"SRX4887839"	"mm9"	"TFs and others"	"Hdac3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9668	0.2424
3620	"SRX490475"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Pluripotent stem cell"	"mESC derived neural cells"	"None"	"None"	"C57BL/6"	0.9962	0.4279
3621	"SRX4961494"	"mm9"	"TFs and others"	"Ctcf"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"(FVB x CAST)F2"	0.9972	0.6966
3622	"SRX4961496"	"mm9"	"TFs and others"	"Ctcf"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"(FVB x CAST)F2"	0.9953	0.7068
3623	"SRX4961498"	"mm9"	"TFs and others"	"Ctcf"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"(FVB x CAST)F2"	0.9964	0.7036
3624	"SRX4961500"	"mm9"	"TFs and others"	"Ctcf"	"Embryonic fibroblast"	"MEF"	"None"	"Smchd1 +/-"	"(FVB x CAST)F2"	0.9958	0.6629999999999999
3625	"SRX4961502"	"mm9"	"TFs and others"	"Ctcf"	"Embryonic fibroblast"	"MEF"	"None"	"Smchd1 +/-"	"(FVB x CAST)F2"	0.9948	0.6509
3626	"SRX497483"	"mm9"	"TFs and others"	"Myod1"	"Muscle"	"Myoblasts"	"None"	"None"	"C57BL/6"	0.9354	0.0769
3627	"SRX497486"	"mm9"	"TFs and others"	"Myog"	"Muscle"	"Myotube"	"None"	"None"	"C57BL/6"	0.945	0.1092
3628	"SRX497487"	"mm9"	"TFs and others"	"Myog"	"Muscle"	"Myotube"	"None"	"None"	"C57BL/6"	0.9448	0.0471
3629	"SRX497490"	"mm9"	"TFs and others"	"Jun"	"Muscle"	"Myoblasts"	"None"	"None"	"C57BL/6"	0.9792	0.267
3630	"SRX497491"	"mm9"	"TFs and others"	"Jun"	"Muscle"	"Myoblasts"	"None"	"None"	"C57BL/6"	0.9768	0.2947
3631	"SRX498823"	"mm9"	"TFs and others"	"Spi1"	"Blood"	"Macrophages"	"Lipopolysaccharide (2 hours)"	"None"	"C57BL/6"	0.9797	0.5726
3632	"SRX498824"	"mm9"	"TFs and others"	"Spi1"	"Blood"	"Macrophages"	"Lipopolysaccharide (4 hours)"	"None"	"C57BL/6"	0.9834	0.5504
3633	"SRX498825"	"mm9"	"TFs and others"	"Spi1"	"Blood"	"Macrophages"	"None"	"None"	"BXH2/TyJ"	0.9852	0.5701
3634	"SRX498826"	"mm9"	"TFs and others"	"Spi1"	"Blood"	"Macrophages"	"Lipopolysaccharide (2 hours)"	"None"	"BXH2/TyJ"	0.9848	0.5666
3635	"SRX498827"	"mm9"	"TFs and others"	"Spi1"	"Blood"	"Macrophages"	"Lipopolysaccharide (4 hours)"	"None"	"BXH2/TyJ"	0.9840000000000001	0.5869
3636	"SRX498829"	"mm9"	"TFs and others"	"Stat1"	"Blood"	"Macrophages"	"IFNB1 (30 minutes)"	"None"	"C57BL/6"	0.9763	0.2938
3637	"SRX498830"	"mm9"	"TFs and others"	"Stat1"	"Blood"	"Macrophages"	"IFNB1 (1 hour)"	"None"	"C57BL/6"	0.9762	0.1417
3638	"SRX498832"	"mm9"	"TFs and others"	"Stat1"	"Blood"	"Macrophages"	"IFNB1 (30 minutes)"	"None"	"BXH2/TyJ"	0.9757	0.2717
3639	"SRX498833"	"mm9"	"TFs and others"	"Stat1"	"Blood"	"Macrophages"	"IFNB1 (1 hour)"	"None"	"BXH2/TyJ"	0.9752	0.2368
3640	"SRX498840"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9688	0.47600000000000003
3641	"SRX498842"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Macrophages"	"IFNB1 (1 hour)"	"None"	"C57BL/6"	0.9607	0.4203
3642	"SRX498843"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Macrophages"	"None"	"None"	"BXH2/TyJ"	0.9678	0.4959
3643	"SRX498845"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Macrophages"	"IFNB1 (1 hour)"	"None"	"BXH2/TyJ"	0.9631	0.4684
3644	"SRX499112"	"mm9"	"TFs and others"	"Ep300"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129/Sv"	0.9729	0.3317
3645	"SRX499113"	"mm9"	"TFs and others"	"Ep300"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129/Sv"	0.9813	0.3137
3646	"SRX499114"	"mm9"	"TFs and others"	"Pou5f1"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129/Sv"	0.9792	0.4218
3647	"SRX499115"	"mm9"	"TFs and others"	"Pou5f1"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129/Sv"	0.9736	0.3235
3648	"SRX499117"	"mm9"	"TFs and others"	"Otx2"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129/Sv"	0.9828	0.3577
3649	"SRX499119"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129/Sv"	0.9706	0.4153
3650	"SRX499125"	"mm9"	"TFs and others"	"Ep300"	"Pluripotent stem cell"	"EpiLC"	"None"	"None"	"129/Sv"	0.9716	0.2991
3651	"SRX499126"	"mm9"	"TFs and others"	"Ep300"	"Pluripotent stem cell"	"EpiLC"	"None"	"None"	"129/Sv"	0.9783	0.4188
3652	"SRX499127"	"mm9"	"TFs and others"	"Pou5f1"	"Pluripotent stem cell"	"EpiLC"	"None"	"None"	"129/Sv"	0.9674	0.3127
3653	"SRX499128"	"mm9"	"TFs and others"	"Pou5f1"	"Pluripotent stem cell"	"EpiLC"	"None"	"None"	"129/Sv"	0.9765	0.3718
3654	"SRX499129"	"mm9"	"TFs and others"	"Otx2"	"Pluripotent stem cell"	"EpiLC"	"None"	"None"	"129/Sv"	0.9648	0.2903
3655	"SRX499130"	"mm9"	"TFs and others"	"Otx2"	"Pluripotent stem cell"	"EpiLC"	"None"	"None"	"129/Sv"	0.971	0.3173
3656	"SRX499131"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"EpiLC"	"None"	"None"	"129/Sv"	0.9618	0.3876
3657	"SRX499132"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"EpiLC"	"None"	"None"	"129/Sv"	0.9696	0.4316
3658	"SRX5023707"	"mm9"	"TFs and others"	"Esrrb"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9478	0.2407
3659	"SRX5023708"	"mm9"	"TFs and others"	"Esrrb"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9425	0.2228
3660	"SRX5023709"	"mm9"	"TFs and others"	"Esrrb"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9719	0.1366
3661	"SRX5023710"	"mm9"	"TFs and others"	"Esrrb"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9619	0.0851
3662	"SRX5023711"	"mm9"	"TFs and others"	"Esrrb"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.8931	0.0454
3663	"SRX5023712"	"mm9"	"TFs and others"	"Esrrb"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.8854	0.0349
3664	"SRX5023730"	"mm9"	"TFs and others"	"Pou5f1"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.973	0.32899999999999996
3665	"SRX5023732"	"mm9"	"TFs and others"	"Pou5f1"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9842	0.312
3666	"SRX5023741"	"mm9"	"TFs and others"	"Sox2"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.973	0.3693
3667	"SRX5023742"	"mm9"	"TFs and others"	"Sox2"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9731	0.3762
3668	"SRX5023743"	"mm9"	"TFs and others"	"Sox2"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9771	0.3701
3669	"SRX5023744"	"mm9"	"TFs and others"	"Sox2"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9822	0.3535
3670	"SRX502900"	"mm9"	"TFs and others"	"Olig2"	"Embryo"	"Neural tube"	"None"	"None"	"C57BL/6J"	0.9777	0.1246
3671	"SRX502905"	"mm9"	"TFs and others"	"Olig2"	"Embryo"	"Neural tube"	"None"	"None"	"C57BL/6J"	0.9816	0.0802
3672	"SRX504226"	"mm9"	"Histone"	"H3K27ac"	"Cardiovascular"	"HL-1"	"None"	"None"	"C57BL/6J"	0.9818	0.3998
3673	"SRX505088"	"mm9"	"Histone"	"H3K4me3"	"Neural"	"Neural stem cells"	"None"	"None"	"C57BL/6"	0.998	0.8669
3674	"SRX5053319"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Natural killer T cells"	"None"	"None"	"C57BL/6"	0.9826	0.4465
3675	"SRX508006"	"mm9"	"TFs and others"	"Esr1"	"Uterus"	"Uterus"	"None"	"None"	"(C57BL/6 x 129)F1"	0.9766	0.2203
3676	"SRX508007"	"mm9"	"TFs and others"	"Esr1"	"Uterus"	"Uterus"	"Estradiol"	"None"	"(C57BL/6 x 129)F1"	0.946	0.2318
3677	"SRX508008"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Uterus"	"Uterus"	"None"	"None"	"(C57BL/6 x 129)F1"	0.9738	0.5379999999999999
3678	"SRX515661"	"mm9"	"TFs and others"	"Crebbp"	"Embryonic fibroblast"	"3T3-L1"	"None"	"None"	"Swiss albino"	0.9686	0.1217
3679	"SRX515662"	"mm9"	"TFs and others"	"Crebbp"	"Embryonic fibroblast"	"3T3-L1"	"None"	"None"	"Swiss albino"	0.9682	0.1101
3680	"SRX515663"	"mm9"	"TFs and others"	"Ep300"	"Embryonic fibroblast"	"3T3-L1"	"None"	"None"	"Swiss albino"	0.9652	0.1124
3681	"SRX515665"	"mm9"	"TFs and others"	"Ncor1"	"Embryonic fibroblast"	"3T3-L1"	"None"	"None"	"Swiss albino"	0.9655	0.205
3682	"SRX515666"	"mm9"	"TFs and others"	"Ncor1"	"Embryonic fibroblast"	"3T3-L1"	"None"	"None"	"Swiss albino"	0.9572	0.1437
3683	"SRX515667"	"mm9"	"TFs and others"	"Cebpa"	"Embryonic fibroblast"	"3T3-L1"	"None"	"None"	"Swiss albino"	0.9733	0.2424
3684	"SRX515668"	"mm9"	"TFs and others"	"Cebpb"	"Embryonic fibroblast"	"3T3-L1"	"None"	"None"	"Swiss albino"	0.9740000000000001	0.249
3685	"SRX515670"	"mm9"	"TFs and others"	"Jund"	"Embryonic fibroblast"	"3T3-L1"	"None"	"None"	"Swiss albino"	0.9748	0.23600000000000002
3686	"SRX520203"	"mm9"	"TFs and others"	"Med1"	"Embryonic fibroblast"	"3T3-L1"	"None"	"None"	"Swiss albino"	0.9635	0.1591
3687	"SRX520209"	"mm9"	"TFs and others"	"Med1"	"Embryonic fibroblast"	"3T3-L1"	"None"	"None"	"Swiss albino"	0.9579	0.2323
3688	"SRX521629"	"mm9"	"Histone"	"H3K4me3"	"Embryo"	"Embryonic limb"	"None"	"None"	"CD-1"	0.9985	0.8753
3689	"SRX521632"	"mm9"	"Histone"	"H3K27ac"	"Embryo"	"Embryonic limb"	"None"	"None"	"CD-1"	0.9967	0.603
3690	"SRX521635"	"mm9"	"Histone"	"H3K4me3"	"Embryo"	"Embryonic brains"	"None"	"None"	"CD-1"	0.9988	0.8715
3691	"SRX522661"	"mm9"	"TFs and others"	"Sin3a"	"Muscle"	"C2C12"	"None"	"None"	"C3H"	0.9982	0.4846
3692	"SRX523449"	"mm9"	"TFs and others"	"Atrx"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"((129S1/SvImJ x CAST/EiJ)F1 x 129S1/SvImJ)F2"	0.9971	0.4325
3693	"SRX535239"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"EpiSC (EpiSC-9 cell line)"	"None"	"None"	"C57BL/6"	0.9986	0.8298
3694	"SRX535240"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"EpiSC (EpiSC-9 cell line)"	"None"	"None"	"C57BL/6"	0.9795	0.4405
3695	"SRX535272"	"mm9"	"Chromatin"	"DNase-seq"	"Embryonic fibroblast"	"3T3-L1"	"None"	"None"	"Swiss albino"	0.9766	0.4587
3696	"SRX535288"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6"	0.9925	0.4527
3697	"SRX535290"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6"	0.9958	0.3588
3698	"SRX542560"	"mm9"	"TFs and others"	"Myc"	"Embryonic fibroblast"	"MEF (3T9 cell line)"	"None"	"Myc fl/fl"	"C57BL/6N x C3H/He"	0.9896	0.3382
3699	"SRX542561"	"mm9"	"TFs and others"	"Myc"	"Embryonic fibroblast"	"MEF (3T9 cell line)"	"None"	"Myc fl/fl"	"C57BL/6N x C3H/He"	0.985	0.4335
3700	"SRX547082"	"mm9"	"TFs and others"	"Tbp"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9955	0.4886
3701	"SRX547086"	"mm9"	"TFs and others"	"Gtf2b"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9867	0.4265
3702	"SRX547092"	"mm9"	"Histone"	"H3K4me3"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9943	0.8415
3703	"SRX547093"	"mm9"	"Histone"	"H3K4me3"	"Liver"	"Liver"	"None"	"Taf4 -/-"	"C57BL/6"	0.9986	0.8804
3704	"SRX547094"	"mm9"	"TFs and others"	"Hnf4a"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9619	0.2289
